,block #,set size,overall stimulus id,image folder,image number,in block stim #,correct action #,correct key#,2/1 correct FB proba,CorrectFB value
0,1.0,2.0,2.0,11.0,1.0,2.0,3.0,15.0,0.2,1.0
1,1.0,2.0,2.0,11.0,1.0,2.0,3.0,15.0,0.2,2.0
2,1.0,2.0,1.0,11.0,5.0,1.0,1.0,14.0,0.5,1.0
3,1.0,2.0,2.0,11.0,1.0,2.0,3.0,15.0,0.2,1.0
4,1.0,2.0,1.0,11.0,5.0,1.0,1.0,14.0,0.5,2.0
5,1.0,2.0,2.0,11.0,1.0,2.0,3.0,15.0,0.2,1.0
6,1.0,2.0,1.0,11.0,5.0,1.0,1.0,14.0,0.5,2.0
7,1.0,2.0,1.0,11.0,5.0,1.0,1.0,14.0,0.5,2.0
8,1.0,2.0,2.0,11.0,1.0,2.0,3.0,15.0,0.2,1.0
9,1.0,2.0,1.0,11.0,5.0,1.0,1.0,14.0,0.5,1.0
10,1.0,2.0,1.0,11.0,5.0,1.0,1.0,14.0,0.5,1.0
11,1.0,2.0,2.0,11.0,1.0,2.0,3.0,15.0,0.2,1.0
12,1.0,2.0,1.0,11.0,5.0,1.0,1.0,14.0,0.5,1.0
13,1.0,2.0,1.0,11.0,5.0,1.0,1.0,14.0,0.5,2.0
14,1.0,2.0,2.0,11.0,1.0,2.0,3.0,15.0,0.2,1.0
15,1.0,2.0,2.0,11.0,1.0,2.0,3.0,15.0,0.2,1.0
16,1.0,2.0,1.0,11.0,5.0,1.0,1.0,14.0,0.5,2.0
17,1.0,2.0,2.0,11.0,1.0,2.0,3.0,15.0,0.2,2.0
18,1.0,2.0,1.0,11.0,5.0,1.0,1.0,14.0,0.5,1.0
19,1.0,2.0,2.0,11.0,1.0,2.0,3.0,15.0,0.2,1.0
20,3.0,2.0,5.0,4.0,6.0,1.0,2.0,13.0,0.8,2.0
21,3.0,2.0,5.0,4.0,6.0,1.0,2.0,13.0,0.8,1.0
22,3.0,2.0,6.0,4.0,2.0,2.0,3.0,15.0,0.5,2.0
23,3.0,2.0,5.0,4.0,6.0,1.0,2.0,13.0,0.8,2.0
24,3.0,2.0,6.0,4.0,2.0,2.0,3.0,15.0,0.5,1.0
25,3.0,2.0,6.0,4.0,2.0,2.0,3.0,15.0,0.5,2.0
26,3.0,2.0,5.0,4.0,6.0,1.0,2.0,13.0,0.8,2.0
27,3.0,2.0,6.0,4.0,2.0,2.0,3.0,15.0,0.5,1.0
28,3.0,2.0,5.0,4.0,6.0,1.0,2.0,13.0,0.8,1.0
29,3.0,2.0,5.0,4.0,6.0,1.0,2.0,13.0,0.8,2.0
30,3.0,2.0,6.0,4.0,2.0,2.0,3.0,15.0,0.5,1.0
31,3.0,2.0,6.0,4.0,2.0,2.0,3.0,15.0,0.5,2.0
32,3.0,2.0,5.0,4.0,6.0,1.0,2.0,13.0,0.8,2.0
33,3.0,2.0,6.0,4.0,2.0,2.0,3.0,15.0,0.5,1.0
34,3.0,2.0,5.0,4.0,6.0,1.0,2.0,13.0,0.8,2.0
35,3.0,2.0,5.0,4.0,6.0,1.0,2.0,13.0,0.8,2.0
36,3.0,2.0,6.0,4.0,2.0,2.0,3.0,15.0,0.5,2.0
37,3.0,2.0,6.0,4.0,2.0,2.0,3.0,15.0,0.5,2.0
38,3.0,2.0,6.0,4.0,2.0,2.0,3.0,15.0,0.5,1.0
39,3.0,2.0,5.0,4.0,6.0,1.0,2.0,13.0,0.8,2.0
40,4.0,3.0,9.0,2.0,1.0,3.0,3.0,15.0,0.5,2.0
41,4.0,3.0,8.0,2.0,5.0,2.0,2.0,13.0,0.2,2.0
42,4.0,3.0,7.0,2.0,2.0,1.0,1.0,14.0,0.8,2.0
43,4.0,3.0,9.0,2.0,1.0,3.0,3.0,15.0,0.5,2.0
44,4.0,3.0,8.0,2.0,5.0,2.0,2.0,13.0,0.2,1.0
45,4.0,3.0,8.0,2.0,5.0,2.0,2.0,13.0,0.2,1.0
46,4.0,3.0,7.0,2.0,2.0,1.0,1.0,14.0,0.8,2.0
47,4.0,3.0,7.0,2.0,2.0,1.0,1.0,14.0,0.8,2.0
48,4.0,3.0,9.0,2.0,1.0,3.0,3.0,15.0,0.5,1.0
49,4.0,3.0,8.0,2.0,5.0,2.0,2.0,13.0,0.2,1.0
50,4.0,3.0,8.0,2.0,5.0,2.0,2.0,13.0,0.2,1.0
51,4.0,3.0,7.0,2.0,2.0,1.0,1.0,14.0,0.8,2.0
52,4.0,3.0,7.0,2.0,2.0,1.0,1.0,14.0,0.8,1.0
53,4.0,3.0,9.0,2.0,1.0,3.0,3.0,15.0,0.5,1.0
54,4.0,3.0,8.0,2.0,5.0,2.0,2.0,13.0,0.2,1.0
55,4.0,3.0,7.0,2.0,2.0,1.0,1.0,14.0,0.8,1.0
56,4.0,3.0,9.0,2.0,1.0,3.0,3.0,15.0,0.5,2.0
57,4.0,3.0,9.0,2.0,1.0,3.0,3.0,15.0,0.5,1.0
58,4.0,3.0,7.0,2.0,2.0,1.0,1.0,14.0,0.8,2.0
59,4.0,3.0,8.0,2.0,5.0,2.0,2.0,13.0,0.2,1.0
60,4.0,3.0,9.0,2.0,1.0,3.0,3.0,15.0,0.5,2.0
61,4.0,3.0,9.0,2.0,1.0,3.0,3.0,15.0,0.5,1.0
62,4.0,3.0,7.0,2.0,2.0,1.0,1.0,14.0,0.8,2.0
63,4.0,3.0,8.0,2.0,5.0,2.0,2.0,13.0,0.2,1.0
64,4.0,3.0,8.0,2.0,5.0,2.0,2.0,13.0,0.2,1.0
65,4.0,3.0,7.0,2.0,2.0,1.0,1.0,14.0,0.8,2.0
66,4.0,3.0,9.0,2.0,1.0,3.0,3.0,15.0,0.5,2.0
67,4.0,3.0,9.0,2.0,1.0,3.0,3.0,15.0,0.5,1.0
68,4.0,3.0,8.0,2.0,5.0,2.0,2.0,13.0,0.2,2.0
69,4.0,3.0,7.0,2.0,2.0,1.0,1.0,14.0,0.8,2.0
70,5.0,4.0,10.0,6.0,5.0,1.0,1.0,14.0,0.2,2.0
71,5.0,4.0,13.0,6.0,2.0,4.0,3.0,15.0,0.8,2.0
72,5.0,4.0,13.0,6.0,2.0,4.0,3.0,15.0,0.8,1.0
73,5.0,4.0,10.0,6.0,5.0,1.0,1.0,14.0,0.2,2.0
74,5.0,4.0,11.0,6.0,3.0,2.0,1.0,14.0,0.5,1.0
75,5.0,4.0,12.0,6.0,1.0,3.0,3.0,15.0,0.2,1.0
76,5.0,4.0,11.0,6.0,3.0,2.0,1.0,14.0,0.5,1.0
77,5.0,4.0,12.0,6.0,1.0,3.0,3.0,15.0,0.2,1.0
78,5.0,4.0,10.0,6.0,5.0,1.0,1.0,14.0,0.2,1.0
79,5.0,4.0,13.0,6.0,2.0,4.0,3.0,15.0,0.8,2.0
80,5.0,4.0,12.0,6.0,1.0,3.0,3.0,15.0,0.2,2.0
81,5.0,4.0,13.0,6.0,2.0,4.0,3.0,15.0,0.8,1.0
82,5.0,4.0,11.0,6.0,3.0,2.0,1.0,14.0,0.5,2.0
83,5.0,4.0,12.0,6.0,1.0,3.0,3.0,15.0,0.2,1.0
84,5.0,4.0,11.0,6.0,3.0,2.0,1.0,14.0,0.5,2.0
85,5.0,4.0,10.0,6.0,5.0,1.0,1.0,14.0,0.2,1.0
86,5.0,4.0,12.0,6.0,1.0,3.0,3.0,15.0,0.2,1.0
87,5.0,4.0,13.0,6.0,2.0,4.0,3.0,15.0,0.8,2.0
88,5.0,4.0,12.0,6.0,1.0,3.0,3.0,15.0,0.2,1.0
89,5.0,4.0,11.0,6.0,3.0,2.0,1.0,14.0,0.5,1.0
90,5.0,4.0,10.0,6.0,5.0,1.0,1.0,14.0,0.2,1.0
91,5.0,4.0,11.0,6.0,3.0,2.0,1.0,14.0,0.5,2.0
92,5.0,4.0,10.0,6.0,5.0,1.0,1.0,14.0,0.2,1.0
93,5.0,4.0,12.0,6.0,1.0,3.0,3.0,15.0,0.2,2.0
94,5.0,4.0,13.0,6.0,2.0,4.0,3.0,15.0,0.8,2.0
95,5.0,4.0,13.0,6.0,2.0,4.0,3.0,15.0,0.8,2.0
96,5.0,4.0,11.0,6.0,3.0,2.0,1.0,14.0,0.5,1.0
97,5.0,4.0,12.0,6.0,1.0,3.0,3.0,15.0,0.2,1.0
98,5.0,4.0,10.0,6.0,5.0,1.0,1.0,14.0,0.2,1.0
99,5.0,4.0,11.0,6.0,3.0,2.0,1.0,14.0,0.5,2.0
100,5.0,4.0,13.0,6.0,2.0,4.0,3.0,15.0,0.8,2.0
101,5.0,4.0,10.0,6.0,5.0,1.0,1.0,14.0,0.2,1.0
102,5.0,4.0,11.0,6.0,3.0,2.0,1.0,14.0,0.5,2.0
103,5.0,4.0,12.0,6.0,1.0,3.0,3.0,15.0,0.2,1.0
104,5.0,4.0,10.0,6.0,5.0,1.0,1.0,14.0,0.2,1.0
105,5.0,4.0,13.0,6.0,2.0,4.0,3.0,15.0,0.8,2.0
106,5.0,4.0,13.0,6.0,2.0,4.0,3.0,15.0,0.8,2.0
107,5.0,4.0,11.0,6.0,3.0,2.0,1.0,14.0,0.5,1.0
108,5.0,4.0,12.0,6.0,1.0,3.0,3.0,15.0,0.2,1.0
109,5.0,4.0,10.0,6.0,5.0,1.0,1.0,14.0,0.2,1.0
110,6.0,5.0,16.0,13.0,1.0,3.0,2.0,13.0,0.8,2.0
111,6.0,5.0,14.0,13.0,5.0,1.0,1.0,14.0,0.2,1.0
112,6.0,5.0,17.0,13.0,3.0,4.0,3.0,15.0,0.5,1.0
113,6.0,5.0,18.0,13.0,6.0,5.0,3.0,15.0,0.8,2.0
114,6.0,5.0,17.0,13.0,3.0,4.0,3.0,15.0,0.5,2.0
115,6.0,5.0,16.0,13.0,1.0,3.0,2.0,13.0,0.8,2.0
116,6.0,5.0,14.0,13.0,5.0,1.0,1.0,14.0,0.2,1.0
117,6.0,5.0,15.0,13.0,4.0,2.0,1.0,14.0,0.5,1.0
118,6.0,5.0,15.0,13.0,4.0,2.0,1.0,14.0,0.5,1.0
119,6.0,5.0,14.0,13.0,5.0,1.0,1.0,14.0,0.2,1.0
120,6.0,5.0,16.0,13.0,1.0,3.0,2.0,13.0,0.8,2.0
121,6.0,5.0,18.0,13.0,6.0,5.0,3.0,15.0,0.8,1.0
122,6.0,5.0,17.0,13.0,3.0,4.0,3.0,15.0,0.5,1.0
123,6.0,5.0,14.0,13.0,5.0,1.0,1.0,14.0,0.2,2.0
124,6.0,5.0,16.0,13.0,1.0,3.0,2.0,13.0,0.8,1.0
125,6.0,5.0,18.0,13.0,6.0,5.0,3.0,15.0,0.8,2.0
126,6.0,5.0,17.0,13.0,3.0,4.0,3.0,15.0,0.5,2.0
127,6.0,5.0,15.0,13.0,4.0,2.0,1.0,14.0,0.5,2.0
128,6.0,5.0,18.0,13.0,6.0,5.0,3.0,15.0,0.8,2.0
129,6.0,5.0,14.0,13.0,5.0,1.0,1.0,14.0,0.2,1.0
130,6.0,5.0,16.0,13.0,1.0,3.0,2.0,13.0,0.8,2.0
131,6.0,5.0,16.0,13.0,1.0,3.0,2.0,13.0,0.8,1.0
132,6.0,5.0,14.0,13.0,5.0,1.0,1.0,14.0,0.2,1.0
133,6.0,5.0,17.0,13.0,3.0,4.0,3.0,15.0,0.5,1.0
134,6.0,5.0,18.0,13.0,6.0,5.0,3.0,15.0,0.8,1.0
135,6.0,5.0,15.0,13.0,4.0,2.0,1.0,14.0,0.5,1.0
136,6.0,5.0,14.0,13.0,5.0,1.0,1.0,14.0,0.2,1.0
137,6.0,5.0,17.0,13.0,3.0,4.0,3.0,15.0,0.5,2.0
138,6.0,5.0,15.0,13.0,4.0,2.0,1.0,14.0,0.5,2.0
139,6.0,5.0,18.0,13.0,6.0,5.0,3.0,15.0,0.8,2.0
140,6.0,5.0,16.0,13.0,1.0,3.0,2.0,13.0,0.8,2.0
141,6.0,5.0,14.0,13.0,5.0,1.0,1.0,14.0,0.2,2.0
142,6.0,5.0,15.0,13.0,4.0,2.0,1.0,14.0,0.5,2.0
143,6.0,5.0,18.0,13.0,6.0,5.0,3.0,15.0,0.8,2.0
144,6.0,5.0,17.0,13.0,3.0,4.0,3.0,15.0,0.5,2.0
145,6.0,5.0,15.0,13.0,4.0,2.0,1.0,14.0,0.5,2.0
146,6.0,5.0,16.0,13.0,1.0,3.0,2.0,13.0,0.8,2.0
147,6.0,5.0,18.0,13.0,6.0,5.0,3.0,15.0,0.8,2.0
148,6.0,5.0,16.0,13.0,1.0,3.0,2.0,13.0,0.8,2.0
149,6.0,5.0,17.0,13.0,3.0,4.0,3.0,15.0,0.5,1.0
150,6.0,5.0,14.0,13.0,5.0,1.0,1.0,14.0,0.2,1.0
151,6.0,5.0,17.0,13.0,3.0,4.0,3.0,15.0,0.5,2.0
152,6.0,5.0,18.0,13.0,6.0,5.0,3.0,15.0,0.8,2.0
