,set size,image folder,image1,image2,image3,image4,image5
0,2,11,5,1,,,
1,2,4,6,2,,,
2,3,2,2,5,1,,
3,4,6,5,3,1,2,
4,5,13,5,4,1,3,6
5,3,15,6,5,2,,
6,5,10,1,3,6,4,2
7,3,7,4,5,6,,
8,4,5,1,6,5,3,
9,5,18,5,3,2,1,4
