,set size,image folder,image1,image2,image3,image4,image5
0,2,6,2,3,,,
1,3,10,6,3,2,,
2,4,18,2,1,3,5,
3,2,9,6,4,,,
4,5,7,2,3,4,5,1
5,3,12,2,4,5,,
6,5,15,2,5,1,6,4
7,3,4,4,2,1,,
8,4,14,6,4,2,3,
9,5,2,3,5,6,2,1
