,set size,image folder,image1,image2,image3,image4,image5
0,3,12,5,2,6,,
1,5,6,6,1,3,5,4
2,2,11,2,5,,,
3,4,5,2,1,4,3,
4,2,14,1,6,,,
5,5,9,1,5,4,3,6
6,3,13,4,5,3,,
7,3,10,3,5,6,,
8,5,4,2,5,4,1,3
9,4,15,6,5,4,3,
