,set size,image folder,image1,image2,image3,image4,image5
0,3.0,12.0,5.0,2.0,6.0,,
1,5.0,6.0,6.0,1.0,3.0,5.0,4.0
2,2.0,11.0,2.0,5.0,,,
3,4.0,5.0,2.0,1.0,4.0,3.0,
4,2.0,18.0,2.0,6.0,,,
5,2.0,14.0,1.0,6.0,,,
6,5.0,9.0,1.0,5.0,4.0,3.0,6.0
7,3.0,13.0,4.0,5.0,3.0,,
8,3.0,10.0,3.0,5.0,6.0,,
9,5.0,4.0,2.0,5.0,4.0,1.0,3.0
10,2.0,7.0,6.0,5.0,,,
11,4.0,15.0,6.0,5.0,4.0,3.0,
