,set size,image folder,image1,image2,image3,image4,image5
0,5,9,4,2,5,1,6
1,4,4,3,4,2,5,
2,3,7,1,6,5,,
3,2,2,1,2,,,
4,2,13,2,6,,,
5,5,3,3,1,6,5,2
6,3,18,1,2,3,,
7,5,11,6,5,1,3,2
8,4,10,5,1,6,2,
9,3,15,2,3,4,,
