,set size,image folder,image1,image2,image3,image4,image5
0,2.0,7.0,5.0,2.0,,,
1,2.0,17.0,5.0,3.0,,,
2,3.0,5.0,5.0,2.0,3.0,,
3,2.0,18.0,2.0,1.0,,,
4,5.0,13.0,1.0,2.0,5.0,6.0,3.0
5,4.0,11.0,1.0,2.0,6.0,3.0,
6,5.0,6.0,6.0,2.0,3.0,4.0,1.0
7,3.0,2.0,3.0,6.0,1.0,,
8,2.0,4.0,1.0,5.0,,,
9,3.0,12.0,1.0,4.0,2.0,,
10,5.0,9.0,1.0,2.0,3.0,4.0,5.0
11,4.0,14.0,1.0,2.0,4.0,6.0,
