,block #,set size,overall stimulus id,image folder,image number,in block stim #,correct action #,correct key#,2/1 correct FB proba,CorrectFB value
0,1.0,2.0,1.0,7.0,5.0,1.0,2.0,13.0,0.5,1.0
1,1.0,2.0,1.0,7.0,5.0,1.0,2.0,13.0,0.5,2.0
2,1.0,2.0,2.0,7.0,2.0,2.0,3.0,15.0,0.2,1.0
3,1.0,2.0,1.0,7.0,5.0,1.0,2.0,13.0,0.5,2.0
4,1.0,2.0,1.0,7.0,5.0,1.0,2.0,13.0,0.5,1.0
5,1.0,2.0,2.0,7.0,2.0,2.0,3.0,15.0,0.2,1.0
6,1.0,2.0,2.0,7.0,2.0,2.0,3.0,15.0,0.2,1.0
7,1.0,2.0,1.0,7.0,5.0,1.0,2.0,13.0,0.5,1.0
8,1.0,2.0,2.0,7.0,2.0,2.0,3.0,15.0,0.2,1.0
9,1.0,2.0,2.0,7.0,2.0,2.0,3.0,15.0,0.2,1.0
10,1.0,2.0,1.0,7.0,5.0,1.0,2.0,13.0,0.5,1.0
11,1.0,2.0,2.0,7.0,2.0,2.0,3.0,15.0,0.2,1.0
12,1.0,2.0,2.0,7.0,2.0,2.0,3.0,15.0,0.2,2.0
13,1.0,2.0,1.0,7.0,5.0,1.0,2.0,13.0,0.5,2.0
14,1.0,2.0,2.0,7.0,2.0,2.0,3.0,15.0,0.2,1.0
15,1.0,2.0,2.0,7.0,2.0,2.0,3.0,15.0,0.2,1.0
16,1.0,2.0,1.0,7.0,5.0,1.0,2.0,13.0,0.5,2.0
17,1.0,2.0,1.0,7.0,5.0,1.0,2.0,13.0,0.5,2.0
18,1.0,2.0,2.0,7.0,2.0,2.0,3.0,15.0,0.2,2.0
19,1.0,2.0,1.0,7.0,5.0,1.0,2.0,13.0,0.5,1.0
20,3.0,3.0,5.0,5.0,5.0,1.0,1.0,14.0,0.5,2.0
21,3.0,3.0,6.0,5.0,2.0,2.0,1.0,14.0,0.2,1.0
22,3.0,3.0,7.0,5.0,3.0,3.0,2.0,13.0,0.8,2.0
23,3.0,3.0,5.0,5.0,5.0,1.0,1.0,14.0,0.5,2.0
24,3.0,3.0,6.0,5.0,2.0,2.0,1.0,14.0,0.2,1.0
25,3.0,3.0,6.0,5.0,2.0,2.0,1.0,14.0,0.2,1.0
26,3.0,3.0,7.0,5.0,3.0,3.0,2.0,13.0,0.8,2.0
27,3.0,3.0,7.0,5.0,3.0,3.0,2.0,13.0,0.8,2.0
28,3.0,3.0,5.0,5.0,5.0,1.0,1.0,14.0,0.5,1.0
29,3.0,3.0,6.0,5.0,2.0,2.0,1.0,14.0,0.2,2.0
30,3.0,3.0,6.0,5.0,2.0,2.0,1.0,14.0,0.2,1.0
31,3.0,3.0,7.0,5.0,3.0,3.0,2.0,13.0,0.8,2.0
32,3.0,3.0,5.0,5.0,5.0,1.0,1.0,14.0,0.5,2.0
33,3.0,3.0,6.0,5.0,2.0,2.0,1.0,14.0,0.2,1.0
34,3.0,3.0,7.0,5.0,3.0,3.0,2.0,13.0,0.8,2.0
35,3.0,3.0,5.0,5.0,5.0,1.0,1.0,14.0,0.5,1.0
36,3.0,3.0,5.0,5.0,5.0,1.0,1.0,14.0,0.5,1.0
37,3.0,3.0,7.0,5.0,3.0,3.0,2.0,13.0,0.8,1.0
38,3.0,3.0,6.0,5.0,2.0,2.0,1.0,14.0,0.2,1.0
39,3.0,3.0,7.0,5.0,3.0,3.0,2.0,13.0,0.8,2.0
40,3.0,3.0,6.0,5.0,2.0,2.0,1.0,14.0,0.2,1.0
41,3.0,3.0,5.0,5.0,5.0,1.0,1.0,14.0,0.5,1.0
42,3.0,3.0,5.0,5.0,5.0,1.0,1.0,14.0,0.5,2.0
43,3.0,3.0,7.0,5.0,3.0,3.0,2.0,13.0,0.8,2.0
44,3.0,3.0,6.0,5.0,2.0,2.0,1.0,14.0,0.2,2.0
45,3.0,3.0,5.0,5.0,5.0,1.0,1.0,14.0,0.5,2.0
46,3.0,3.0,7.0,5.0,3.0,3.0,2.0,13.0,0.8,1.0
47,3.0,3.0,7.0,5.0,3.0,3.0,2.0,13.0,0.8,2.0
48,3.0,3.0,5.0,5.0,5.0,1.0,1.0,14.0,0.5,1.0
49,3.0,3.0,6.0,5.0,2.0,2.0,1.0,14.0,0.2,1.0
50,4.0,2.0,8.0,18.0,2.0,1.0,1.0,14.0,0.2,1.0
51,4.0,2.0,9.0,18.0,1.0,2.0,3.0,15.0,0.8,2.0
52,4.0,2.0,8.0,18.0,2.0,1.0,1.0,14.0,0.2,2.0
53,4.0,2.0,8.0,18.0,2.0,1.0,1.0,14.0,0.2,1.0
54,4.0,2.0,9.0,18.0,1.0,2.0,3.0,15.0,0.8,2.0
55,4.0,2.0,9.0,18.0,1.0,2.0,3.0,15.0,0.8,1.0
56,4.0,2.0,8.0,18.0,2.0,1.0,1.0,14.0,0.2,1.0
57,4.0,2.0,9.0,18.0,1.0,2.0,3.0,15.0,0.8,2.0
58,4.0,2.0,9.0,18.0,1.0,2.0,3.0,15.0,0.8,2.0
59,4.0,2.0,8.0,18.0,2.0,1.0,1.0,14.0,0.2,1.0
60,4.0,2.0,8.0,18.0,2.0,1.0,1.0,14.0,0.2,1.0
61,4.0,2.0,9.0,18.0,1.0,2.0,3.0,15.0,0.8,2.0
62,4.0,2.0,8.0,18.0,2.0,1.0,1.0,14.0,0.2,1.0
63,4.0,2.0,9.0,18.0,1.0,2.0,3.0,15.0,0.8,2.0
64,4.0,2.0,9.0,18.0,1.0,2.0,3.0,15.0,0.8,2.0
65,4.0,2.0,8.0,18.0,2.0,1.0,1.0,14.0,0.2,1.0
66,4.0,2.0,8.0,18.0,2.0,1.0,1.0,14.0,0.2,2.0
67,4.0,2.0,9.0,18.0,1.0,2.0,3.0,15.0,0.8,2.0
68,4.0,2.0,9.0,18.0,1.0,2.0,3.0,15.0,0.8,1.0
69,4.0,2.0,8.0,18.0,2.0,1.0,1.0,14.0,0.2,1.0
70,5.0,5.0,12.0,13.0,5.0,3.0,1.0,14.0,0.2,1.0
71,5.0,5.0,11.0,13.0,2.0,2.0,1.0,14.0,0.8,2.0
72,5.0,5.0,12.0,13.0,5.0,3.0,1.0,14.0,0.2,1.0
73,5.0,5.0,10.0,13.0,1.0,1.0,1.0,14.0,0.8,2.0
74,5.0,5.0,13.0,13.0,6.0,4.0,2.0,13.0,0.5,1.0
75,5.0,5.0,11.0,13.0,2.0,2.0,1.0,14.0,0.8,2.0
76,5.0,5.0,10.0,13.0,1.0,1.0,1.0,14.0,0.8,2.0
77,5.0,5.0,14.0,13.0,3.0,5.0,2.0,13.0,0.2,1.0
78,5.0,5.0,14.0,13.0,3.0,5.0,2.0,13.0,0.2,1.0
79,5.0,5.0,12.0,13.0,5.0,3.0,1.0,14.0,0.2,1.0
80,5.0,5.0,10.0,13.0,1.0,1.0,1.0,14.0,0.8,1.0
81,5.0,5.0,11.0,13.0,2.0,2.0,1.0,14.0,0.8,2.0
82,5.0,5.0,13.0,13.0,6.0,4.0,2.0,13.0,0.5,2.0
83,5.0,5.0,12.0,13.0,5.0,3.0,1.0,14.0,0.2,1.0
84,5.0,5.0,13.0,13.0,6.0,4.0,2.0,13.0,0.5,2.0
85,5.0,5.0,14.0,13.0,3.0,5.0,2.0,13.0,0.2,1.0
86,5.0,5.0,10.0,13.0,1.0,1.0,1.0,14.0,0.8,2.0
87,5.0,5.0,11.0,13.0,2.0,2.0,1.0,14.0,0.8,2.0
88,5.0,5.0,11.0,13.0,2.0,2.0,1.0,14.0,0.8,2.0
89,5.0,5.0,13.0,13.0,6.0,4.0,2.0,13.0,0.5,2.0
90,5.0,5.0,12.0,13.0,5.0,3.0,1.0,14.0,0.2,1.0
91,5.0,5.0,10.0,13.0,1.0,1.0,1.0,14.0,0.8,1.0
92,5.0,5.0,12.0,13.0,5.0,3.0,1.0,14.0,0.2,1.0
93,5.0,5.0,13.0,13.0,6.0,4.0,2.0,13.0,0.5,1.0
94,5.0,5.0,14.0,13.0,3.0,5.0,2.0,13.0,0.2,2.0
95,5.0,5.0,14.0,13.0,3.0,5.0,2.0,13.0,0.2,1.0
96,5.0,5.0,10.0,13.0,1.0,1.0,1.0,14.0,0.8,2.0
97,5.0,5.0,11.0,13.0,2.0,2.0,1.0,14.0,0.8,2.0
98,5.0,5.0,12.0,13.0,5.0,3.0,1.0,14.0,0.2,1.0
99,5.0,5.0,13.0,13.0,6.0,4.0,2.0,13.0,0.5,1.0
100,5.0,5.0,13.0,13.0,6.0,4.0,2.0,13.0,0.5,1.0
101,5.0,5.0,14.0,13.0,3.0,5.0,2.0,13.0,0.2,1.0
102,5.0,5.0,11.0,13.0,2.0,2.0,1.0,14.0,0.8,1.0
103,5.0,5.0,14.0,13.0,3.0,5.0,2.0,13.0,0.2,1.0
104,5.0,5.0,12.0,13.0,5.0,3.0,1.0,14.0,0.2,1.0
105,5.0,5.0,10.0,13.0,1.0,1.0,1.0,14.0,0.8,2.0
106,5.0,5.0,13.0,13.0,6.0,4.0,2.0,13.0,0.5,1.0
107,5.0,5.0,14.0,13.0,3.0,5.0,2.0,13.0,0.2,2.0
108,5.0,5.0,12.0,13.0,5.0,3.0,1.0,14.0,0.2,2.0
109,5.0,5.0,11.0,13.0,2.0,2.0,1.0,14.0,0.8,2.0
110,5.0,5.0,14.0,13.0,3.0,5.0,2.0,13.0,0.2,1.0
111,5.0,5.0,10.0,13.0,1.0,1.0,1.0,14.0,0.8,2.0
112,5.0,5.0,10.0,13.0,1.0,1.0,1.0,14.0,0.8,2.0
113,5.0,5.0,11.0,13.0,2.0,2.0,1.0,14.0,0.8,2.0
114,5.0,5.0,13.0,13.0,6.0,4.0,2.0,13.0,0.5,2.0
115,5.0,5.0,10.0,13.0,1.0,1.0,1.0,14.0,0.8,2.0
116,5.0,5.0,13.0,13.0,6.0,4.0,2.0,13.0,0.5,2.0
117,5.0,5.0,14.0,13.0,3.0,5.0,2.0,13.0,0.2,1.0
118,5.0,5.0,12.0,13.0,5.0,3.0,1.0,14.0,0.2,2.0
119,5.0,5.0,11.0,13.0,2.0,2.0,1.0,14.0,0.8,1.0
120,6.0,4.0,18.0,11.0,3.0,4.0,3.0,15.0,0.8,1.0
121,6.0,4.0,17.0,11.0,6.0,3.0,3.0,15.0,0.5,2.0
122,6.0,4.0,16.0,11.0,2.0,2.0,1.0,14.0,0.2,1.0
123,6.0,4.0,15.0,11.0,1.0,1.0,1.0,14.0,0.2,1.0
124,6.0,4.0,15.0,11.0,1.0,1.0,1.0,14.0,0.2,1.0
125,6.0,4.0,16.0,11.0,2.0,2.0,1.0,14.0,0.2,2.0
126,6.0,4.0,18.0,11.0,3.0,4.0,3.0,15.0,0.8,2.0
