,set size,image folder,image1,image2,image3,image4,image5
0,2,7,5,2,,,
1,3,5,5,2,3,,
2,2,18,2,1,,,
3,5,13,1,2,5,6,3
4,4,11,1,2,6,3,
5,5,6,6,2,3,4,1
6,3,2,3,6,1,,
7,3,12,1,4,2,,
8,5,9,1,2,3,4,5
9,4,14,1,2,4,6,
