,set size,image folder,image1,image2,image3,image4,image5
0,2,5,6,4,,,
1,5,4,2,6,1,3,5
2,3,18,1,6,4,,
3,2,15,6,1,,,
4,4,6,2,5,6,1,
5,3,12,3,4,6,,
6,5,3,1,4,5,6,3
7,5,11,6,1,5,2,3
8,3,9,4,3,1,,
9,4,10,1,6,4,3,
