,set size,image folder,image1,image2,image3,image4,image5
0,2,18,2,1,,,
1,3,11,1,5,3,,
2,5,10,6,2,4,1,3
3,4,9,3,2,1,4,
4,2,2,1,6,,,
5,5,15,3,1,2,6,5
6,3,3,3,1,4,,
7,3,17,2,5,4,,
8,5,5,1,3,5,2,6
9,4,13,2,5,6,1,
