,set size,image folder,image1,image2,image3,image4,image5
0,4.0,18.0,2.0,4.0,3.0,6.0,
1,3.0,6.0,4.0,6.0,2.0,,
2,5.0,14.0,5.0,3.0,2.0,1.0,4.0
3,2.0,15.0,4.0,1.0,,,
4,2.0,10.0,6.0,5.0,,,
5,2.0,13.0,1.0,6.0,,,
6,3.0,4.0,1.0,4.0,5.0,,
7,5.0,17.0,4.0,6.0,3.0,2.0,5.0
8,4.0,2.0,1.0,3.0,4.0,6.0,
9,3.0,7.0,5.0,6.0,3.0,,
10,5.0,12.0,1.0,5.0,4.0,2.0,3.0
11,2.0,11.0,3.0,1.0,,,
