,set size,image folder,image1,image2,image3,image4,image5
0,4,18,2,4,3,6,
1,3,6,4,6,2,,
2,5,14,5,3,2,1,4
3,2,15,4,1,,,
4,2,13,1,6,,,
5,3,4,1,4,5,,
6,5,17,4,6,3,2,5
7,4,2,1,3,4,6,
8,3,7,5,6,3,,
9,5,12,1,5,4,2,3
