,set size,image folder,image1,image2,image3,image4,image5
0,2.0,3.0,4.0,6.0,,,
1,3.0,2.0,1.0,2.0,3.0,,
2,2.0,14.0,5.0,2.0,,,
3,5.0,10.0,2.0,4.0,5.0,1.0,3.0
4,4.0,13.0,6.0,2.0,1.0,4.0,
5,2.0,19.0,1.0,6.0,,,
6,3.0,7.0,3.0,1.0,5.0,,
7,5.0,18.0,6.0,4.0,2.0,3.0,5.0
8,2.0,4.0,1.0,2.0,,,
9,3.0,6.0,5.0,6.0,1.0,,
10,5.0,8.0,5.0,2.0,4.0,6.0,1.0
11,4.0,12.0,2.0,6.0,5.0,4.0,
