,set size,image folder,image1,image2,image3,image4,image5
0,2,3,4,6,,,
1,3,2,1,2,3,,
2,5,10,2,4,5,1,3
3,4,13,6,2,1,4,
4,2,19,1,6,,,
5,3,7,3,1,5,,
6,5,18,6,4,2,3,5
7,3,6,5,6,1,,
8,5,8,5,2,4,6,1
9,4,12,2,6,5,4,
